id,first_name,last_name,birth_date,street,zip_code,city,phone_number,mobile_number,email,news_letter,lng,lat
1,Christiane,Zinn,10.1.1925,Kurneystr. 180,29584,Himbergen,+495828 /w 55445957,+491649779581,c.zinn@mail.xyz,ja,10.7306019,53.0950664
2,Klaus,Henschke,9.6.1949,Olpener Str. 32,25842,Ockholm,+49467489023088,+491573088712,k.henschke@mail.xyz,ja,8.8164479,54.6704653
3,Ruben,Spur,7.9.1941,Piusallee 152,86975,Bernbeuren,+49886067890199,+491527384757,r.spur@mail.xyz,ja,10.7756894,47.7386697
4,Liam,Heyer,26.9.1921,Ostmarkstr. 89,91489,Wilhelmsdorf,+49910461202295,+491595004922,l.heyer@mail.xyz,ja,10.7381345,49.5629403
5,Cedric,Hopkins,20.8.1987,Meinertzstr. 122,34123,Kassel,+4956154998867,+491675482864,cedric.hopkins@mail.xyz,ja,9.5253672,51.3011458
6,Mattis,Horstmann,10.11.1997,Hansaring 184,54426,Merschbach,+49650410280344,+491722853231,m.horstmann@mail.xyz,ja,7.0051931,49.8034499
7,Ingrid,Hoffmann,26.12.1929,Langeworth 122,24106,Kiel,+4943150527988,+491517012816,i.hoffmann@mail.xyz,ja,10.1211182,54.3579391
8,J_rg,Moos,4.3.1931,Josef-Suwelack-Weg 2,74541,Vellberg,+49790781971824,+491764416861,joerg.moos@mail.xyz,ja,9.8748971,49.0847854
9,Robin,Struck,8.5.1920,Speestr. - 58,46354,Sdlohn,+49286249980583,+491753763405,robin.struck@mail.xyz,ja,INVALID_LOCATION,INVALID_LOCATION
10,Franz,Sigl,4.8.1925,Kanalstr. 152,9123,Chemnitz,+4937189398567,+491515762706,franz.sigl@mail.xyz,ja,12.9030001,50.840734
11,Magnus,Goetze,23.10.1924,Nieland 124,87675,Rettenbach am Auerberg,+49834973107197,+491636843081,magnus.goetze@mail.xyz,ja,10.7493833,47.7737793
12,Heinz,Kahle,6.8.1960,Heroldstr. 8,96103,Hallstadt,+4995174996755,+491521458811,heinz.kahle@mail.xyz,ja,10.8810085,49.92697039999999
13,Paula,Herwig,2.1.1929,Telgenweg 81,24857,Borgwedel,+49462132953164,+491738974137,paula.herwig@mail.xyz,ja,9.6656667,54.4999194
14,Dieter,Naujoks,18.11.1957,Am Oedingteich 41,92447,H_fen,+49967513875105,+491613517331,d.naujoks@mail.xyz,ja,INVALID_LOCATION,INVALID_LOCATION
15,Judith,Moosmann,13.8.1975,Nerzweg 2,21493,Grove,+4941515499492,+491606958767,judith.moosmann@mail.xyz,ja,10.4946725,53.5286567
16,Annalena,Krieg,23.2.1933,Eifelstr. 80,15377,Bollersdorf,+49334351606020,+491799623652,a.krieg@mail.xyz,ja,-80.47714719999999,39.9782003
17,Claus,Seibert,26.12.1997,Weseler Str. 154,36275,Kirchheim,+49662558342907,+491751693944,claus.seibert@mail.xyz,ja,9.57536,50.8371188
18,Ole,Karmann,5.9.1997,Kempener Str. 63,91126,Rednitzhembach,+49912289462245,+491519028528,ole.karmann@mail.xyz,ja,11.082914,49.2990931
19,Kiara,Gehring,14.7.1981,Hfferstr. 59,90542,Eckental,+49912686470547,+491632135040,kiara.gehring@mail.xyz,ja,11.2013519,49.5741786
20,Kristof,Williamson,2.7.1993,Rincklakeweg 73,38173,Dettum,+49533329950671,+491795834133,kristof.williamson@mail.xyz,ja,10.6662531,52.1711967
21,Lilly,M_der,21.9.1992,Neusser Str. 41,55578,Sankt Johann,+49670183622118,+491569025467,lilly.maeder@mail.xyz,ja,8.0171084,49.8675278
22,Emely,K_stner,25.12.1987,Am Nubbenberg 51,93090,Bach an der Donau,+49940343447012,+491738863415,e.kaestner@mail.xyz,ja,12.3033548,49.0226838
23,Julian,Dunn,7.10.1951,Am Brook 44a,79286,Glottertal,+4976848230053,+491526585045,julian.dunn@mail.xyz,ja,7.9448353,48.0485701
24,Dustin,Gerling,6.3.1995,Bohlweg 55a,28832,Achim,+49420237510847,+491622805469,dustin.gerling@mail.xyz,ja,9.0726476,53.0230093
25,Leon,H_rmann,3.3.1973,Steinfurter Str. 34,95199,Thierstein,+49923581384110,+491548651463,leon.hoermann@mail.xyz,ja,12.1012259,50.107239
26,Christin,Funke,14.10.1973,Mariendorfer Str. 19,59964,Medebach,+49298287251352,+491731503853,c.funke@mail.xyz,ja,8.7003377,51.200192
27,Lotta,Stange,12.12.1993,Immelmannstr. 103,86732,Oettingen,+49908277213788,+491771493771,l.stange@mail.xyz,ja,10.6021053,48.9517515
28,Ulrike,Hensel,20.9.2000,Arnheimweg 33,37293,Herleshausen,+49565448886604,+491564768357,u.hensel@mail.xyz,ja,10.1321506,51.0228225
29,Frederik,Borchert,2.7.1994,Dammstr. 125,24244,Felm,+49434688039485,+491738855924,frederik.borchert@mail.xyz,ja,10.0578061,54.4099817
30,Sofie,Eberle,22.3.1950,Sternstr. 36,14974,Gro Schulzendorf,+49337881260109,+491762006773,sofie.eberle@mail.xyz,ja,INVALID_LOCATION,INVALID_LOCATION
31,Rasmus,Koch,25.4.1993,Pankokstr. 57,25591,Ottenbttel,+49489354617632,+491749464608,r.koch@mail.xyz,ja,INVALID_LOCATION,INVALID_LOCATION
32,Ian,Pape,19.11.1970,Von-der-Tinnen-Str. 196,70736,Fellbach,+4971147604942,+491531204724,ian.pape@mail.xyz,ja,9.2677632,48.8405086
33,Wilfried,Berthold,28.9.1924,Bernhard-Poether-Str. 23,55471,Kmbdchen,+49676174001701,+491592201063,w.berthold@mail.xyz,ja,INVALID_LOCATION,INVALID_LOCATION
34,Bernhardt,Eger,23.1.1976,Liboristr. 153,89297,Roggenburg,+49730085197116,+491551067634,b.eger@mail.xyz,ja,10.2308613,48.2783338
35,Marius,Dreher,10.12.1985,Wildpfad 52,63589,Linsengericht,+49605165921575,+491603944836,m.dreher@mail.xyz,ja,9.194558299999999,50.1877349
36,Dilara,Kriegel,27.5.1920,Emdener Str. 156,24306,Lebrade,+49452228923250,+491715052982,dilara.kriegel@mail.xyz,ja,10.423816,54.2151193
37,Leandra,Puls,27.7.1926,Rohrkampstr. 200,24890,Stolk,+494623110565,+491535910817,l.puls@mail.xyz,ja,9.5450219,54.5988117
38,Martina,Putz,23.1.1988,Am Ziegelofen 91,60323,Frankfurt am Main,+496943668474,+491711072904,martina.putz@mail.xyz,ja,8.662281300000002,50.1258328
39,Amy,Buchner,6.10.1942,Am Bltenhain 107,98528,Suhl,+49368133428338,+491605269264,a.buchner@mail.xyz,ja,10.7372183,50.6383545
40,Juliana,Hausmann,3.7.1986,Werkstattstr. 188,66996,Schindhard,+49639195261813,+491503241553,j.hausmann@mail.xyz,ja,7.8193797,49.1423534
41,Klaudia,Obermeier,12.11.1930,Zum Burgschemm 55a,53539,Gelenberg,+49269245344031,+491737876468,klaudia.obermeier@mail.xyz,ja,6.862373799999999,50.2918127
42,Dominik,Kruger,20.11.1933,Am Wigbold 126,65185,Wiesbaden,+4961130292454,+491648450257,dominik.krueger@mail.xyz,ja,8.240001699999999,50.0760976
43,Lia,Ganz,14.7.1923,Emdener Str. 20,72516,Scheer,+4975722927362,+491774436043,lia.ganz@mail.xyz,ja,9.296848299999999,48.0743969
44,Anke,Dehn,7.9.1958,Steinfurter Str. 150,67822,Gaugrehweiler,+49636283081279,+491734417999,a.dehn@mail.xyz,ja,7.8618051,49.70766829999999
45,Joelina,Kaden,11.6.1928,Am Dornbusch 140,54570,Bleckhausen,+49659235161279,+491647855167,joelina.kaden@mail.xyz,ja,6.7773105,50.125255
46,Nelli,Weigel,10.4.1999,B_ttcherstr. 147,74937,Spechbach,+49622678593887,+491534999022,n.weigel@mail.xyz,ja,8.8843357,49.346436
47,Rebekka,Schwerdtfeger,27.6.1996,Kochwiesenstr. 199,93468,Miltach,+49994410128951,+491674235672,rebekka.schwerdtfeger@mail.xyz,ja,12.7690053,49.1622316
48,Mathias,Heger,16.8.1976,Heroldstr. 18,92703,Krummennaab,+49968281434539,+491692315550,m.heger@mail.xyz,ja,12.0997571,49.8318711
49,Marlis,Penner,14.10.1970,Stettiner Str. 131,35085,Ebsdorfergrund,+49642418228532,+491784512696,marlis.penner@mail.xyz,ja,8.7879749,50.6710426
50,Michel,Adam,3.5.1922,Sentmaringer Weg 191,13467,Hermsdorf,+493070333265,+491774157842,michel.adam@mail.xyz,ja,13.3055157,52.6142447
51,Erich,Carson,28.9.1926,Dorbaumstr. 70,26548,Norderney,+4949325692122,+491661306561,erich.carson@mail.xyz,ja,7.143054999999999,53.7078132
52,Mads,Kieslich,7.3.1978,Catharina-Mller-Str. 56,56368,Katzenelnbogen,+49648633117370,+491728325779,mads.kieslich@mail.xyz,ja,7.9758089,50.2687235
53,Ernst,Welter,11.5.1939,Carossastr. 73a,49762,Sustrum,+49593962091433,+491654832552,ernst.welter@mail.xyz,ja,7.283588600000001,52.9111523
54,Robert,Armbruster,18.7.1935,Catharina-Mller-Str. 31,91478,Markt Nordheim,+49910632209237,+491605299309,r.armbruster@mail.xyz,ja,10.3555616,49.59106130000001
55,Birgit,Demir,25.6.1929,Studtstr. 165,77855,Achern,+4978414852129,+491748307663,birgit.demir@mail.xyz,ja,8.034704,48.6300448
56,Joshua,Sieg,13.1.1957,Augustastr. 141,9028,Chemnitz,+4937182772304,+491554543625,j.sieg@mail.xyz,ja,13.3390121,50.8481909
57,Margarete,Kirchhoff,24.10.1945,Oscar-Wilde-Str. 92,44623,Herne,+49232386174730,+491525018767,m.kirchhoff@mail.xyz,ja,7.2251173,51.5389464
58,Stella,Evers,24.9.1986,M_serweg 108,86405,Meitingen,+49827135899948,+491706412822,s.evers@mail.xyz,ja,10.8556894,48.54671039999999
59,Rieke,Shaw,3.6.1969,Rottkamp 29,31088,Winzenburg,+49518463700420,+491693582903,r.shaw@mail.xyz,ja,9.9378183,51.9379022
60,Andre,Jenkins,6.7.1937,Hlsebrockstr. 114,54570,Hohenfels-Essingen,+49659131083054,+491525389793,andre.jenkins@mail.xyz,ja,6.727657499999999,50.2544045
61,Carin,Engelhard,14.9.1923,Rottkamp 178,6116,Halle,+4934558218949,+491558382171,carin.engelhard@mail.xyz,ja,INVALID_LOCATION,INVALID_LOCATION
62,Can,R_der,18.10.1927,Kurze Str. 149,74348,Lauffen am Neckar,+49713338480943,+491781697163,can.raeder@mail.xyz,ja,9.1367727,49.0710647
63,Karlotta,Eberhardt,19.4.1966,Norbertstr. 17,55481,Dillendorf,+49676320779854,+491642461497,k.eberhardt@mail.xyz,ja,7.3833144,49.92498140000001
64,Erica,Hirth,5.1.1996,Marderweg 165,84533,Haiming,+49867813049680,+491523288132,e.hirth@mail.xyz,ja,12.8875966,48.2120837
65,Karoline,H_cker,4.12.1925,Florentine-Eichler-Str. 19,57612,Eichelhardt,+49268186710413,+491616674234,k.haecker@mail.xyz,ja,7.699900800000001,50.7181224
